dataset,perturb_type,model,r,SE
Pereira2018,2LocalWordSwap,mdeberta,0.010767146660349189,0.02464879046561858
Pereira2018,2LocalWordSwap,mgpt,-0.05472161390515941,0.06044428115906068
Pereira2018,2LocalWordSwap,mt5_base,0.020243431375981464,0.03533064752630874
Pereira2018,2LocalWordSwap,mt5_large,0.08101613838786809,0.04547045375498152
Pereira2018,2LocalWordSwap,mt5_small,-0.04267104606801356,0.03281325021909379
Pereira2018,2LocalWordSwap,multiminilm,0.035227419692575666,0.03299405207930315
Pereira2018,2LocalWordSwap,nllb200_1B,0.0011363465815227662,0.04098853134197406
Pereira2018,2LocalWordSwap,nllb200_distilled_1B,-0.011375335430920237,0.045229907399534384
Pereira2018,2LocalWordSwap,nllb200_distilled_600M,-0.0008032039237908009,0.04686525826126974
Pereira2018,2LocalWordSwap,xglm_large,0.0005155830696229139,0.033803461855788204
Pereira2018,2LocalWordSwap,xglm_med,-0.03408065755269643,0.032865075491227254
Pereira2018,2LocalWordSwap,xglm_small,0.05110198225691408,0.09157725341057286
Pereira2018,2LocalWordSwap,xglm_xl,0.08384556759147563,0.06215334996897681
Pereira2018,2LocalWordSwap,xlm_align,0.047571386598327554,0.04521648019162295
Pereira2018,2LocalWordSwap,xlmr_base,0.04413578754757484,0.03040284548984863
Pereira2018,2LocalWordSwap,xlmr_large,0.009959954234592,0.021706579736387715
Pereira2018,3LocalWordSwaps,bert_base,0.019986437226000225,0.053042243912604786
Pereira2018,3LocalWordSwaps,distilmbert,-0.0016187387506997177,0.06924489560387719
Pereira2018,3LocalWordSwaps,infoxlm_base,0.024422798144800754,0.040742788312406485
Pereira2018,3LocalWordSwaps,infoxlm_large,-0.0030960991754711226,0.03092375293887833
Pereira2018,3LocalWordSwaps,mdeberta,-0.006530923307392355,0.024863549575912264
Pereira2018,3LocalWordSwaps,mgpt,-0.06067226199708567,0.06986969756675453
Pereira2018,3LocalWordSwaps,mt5_base,0.02949312988642176,0.032657765862056605
Pereira2018,3LocalWordSwaps,mt5_large,0.10141268228774619,0.04474130215942762
Pereira2018,3LocalWordSwaps,mt5_small,-0.037859959265726495,0.032642656558231904
Pereira2018,3LocalWordSwaps,multiminilm,0.040705137356549834,0.03362496141202486
Pereira2018,3LocalWordSwaps,nllb200_1B,0.007334517661198244,0.043876930282832106
Pereira2018,3LocalWordSwaps,nllb200_distilled_1B,-0.006180942991607897,0.05368413278435353
Pereira2018,3LocalWordSwaps,nllb200_distilled_600M,-0.0020389022299720566,0.05747083923680533
Pereira2018,3LocalWordSwaps,xglm_large,-0.0008481170897774892,0.03489005422400503
Pereira2018,3LocalWordSwaps,xglm_med,-0.031304813867707115,0.027369445020195473
Pereira2018,3LocalWordSwaps,xglm_small,0.08202461389493648,0.0792968381783949
Pereira2018,3LocalWordSwaps,xglm_xl,0.09296223907550022,0.07138041321058129
Pereira2018,3LocalWordSwaps,xlm_align,0.05721482836481833,0.04382214513084437
Pereira2018,3LocalWordSwaps,xlmr_base,0.06149450867935032,0.030175070211030813
Pereira2018,3LocalWordSwaps,xlmr_large,0.006158568994136611,0.026107963538123738
Pereira2018,4LocalWordSwaps,bert_base,0.013646803450189088,0.05034719618328285
Pereira2018,4LocalWordSwaps,distilmbert,-0.012421307544646444,0.06910738886296279
Pereira2018,4LocalWordSwaps,infoxlm_base,0.02339014158747788,0.04065707854939792
Pereira2018,4LocalWordSwaps,infoxlm_large,0.0157133472221725,0.03125683442355697
Pereira2018,4LocalWordSwaps,mdeberta,0.0007415129428603327,0.02542759980795088
